Hand Number, Hand Wager, Hand Net, Hand Total, Bank Total
1082,100,100,20,8300
1083,100,-100,16,8200
1084,100,100,20,8300
1085,100,100,18,8400
1086,100,100,21,8500
1087,100,100,21,8600
1088,100,100,18,8700
1089,100,-100,18,8600
1090,100,100,14,8700
1091,100,0,20,8700
1092,100,-100,22,8600
1093,100,100,20,8700
1094,100,-100,24,8600
1095,100,100,20,8700
1096,100,100,12,8700
1097,100,100,16,8900
1098,100,100,18,9000
1099,100,-100,22,8900
1100,100,-100,13,8800
1101,100,0,21,8800
1102,100,-100,13,8700
1103,100,-100,15,8600
1104,100,-100,23,8500
1105,100,150,21,8650
1106,100,100,17,8750
1107,100,100,12,8850
1108,100,100,20,8950
1109,100,100,20,9050
1110,100,0,17,9050
1111,100,100,19,9150
1112,100,100,15,9250
1113,100,100,18,9150
1114,200,200,21,9550
1115,100,0,19,9550
1116,100,100,14,9650
1117,100,100,17,9750
1118,100,-100,24,9650
1119,100,-100,24,9550
1120,100,-100,26,9450
1121,200,-200,12,9250
1122,100,-100,17,9150
1123,100,-100,22,9050
1124,100,-100,25,8950
1125,100,-100,17,8850
1126,100,100,18,8950
1127,100,-100,23,8850
1128,100,-100,25,8750
1129,100,100,17,8850
1130,100,100,21,8950
1131,200,200,12,9150
1132,200,0,18,9150
1133,100,0,17,9150
1134,100,-100,18,9050
1135,100,-100,19,8950
1136,100,0,19,8950
1137,100,-100,16,8850
1138,100,0,18,8850
1139,100,-100,22,8750
1140,100,0,20,8750
1141,200,-200,18,8550
1142,100,-100,22,8450
1143,100,-100,13,8350
1144,100,-100,26,8250
1145,100,-100,24,8150
1146,100,0,18,8150
1147,100,-100,19,8050
1148,100,100,20,8150
1149,100,-100,13,8050
1150,100,-100,18,7950
1151,100,100,15,8050
1152,100,-100,25,7950
1153,100,-100,16,7850
1154,100,100,21,7950
1155,100,-100,24,7850
1156,100,150,21,8000
1157,100,100,19,8100
1158,100,-100,24,8000
1159,100,100,20,8100
1160,100,-100,14,8000
1161,200,200,12,8200
1162,100,100,19,8300
1163,100,-100,18,8200
1164,100,100,20,8300
1165,100,100,21,8400
1166,100,-100,18,8300
1167,100,100,19,8400
1168,100,100,12,8500
1169,100,-100,26,8400
1170,100,-100,17,8300
1171,100,-100,17,8200
1172,100,-100,26,8100
1173,100,-100,15,8000
1174,100,-100,24,7900
1175,100,100,17,8000
1176,100,-100,16,7900
1177,100,100,21,8000
1178,100,-100,22,7900
1179,100,100,19,8000
1180,100,100,21,8100
1181,100,-100,24,8000
1182,100,100,20,8100
1183,100,100,18,8200
1184,100,100,14,8300
1185,100,150,21,8450
1186,100,150,21,8600
1187,100,-100,18,8500
